Date,Open,High,Low,Close,MA20,MA50,RSI14,TR,ATR14,decision,rule,reason
2024-10-02,2663.675,2663.675,2641.7,2658.81,2591.60625,,66.65988723120407,21.975000000000364,32.2947542438162,WAIT,Init,Insufficient history for indicators
2024-10-03,2659.33,2662.6,2639.81,2656.21,2598.57875,,65.84769308510901,22.789999999999964,31.615843226400756,WAIT,Init,Insufficient history for indicators
2024-10-04,2656.195,2670.24,2632.44,2651.64,2606.36325,,64.36325925339399,37.79999999999973,32.057568710229255,WAIT,Init,Insufficient history for indicators
2024-10-07,2650.61,2659.67,2637.92,2642.66,2613.1852499999995,,61.43260856978328,21.75,31.321313802355736,WAIT,Init,Insufficient history for indicators
2024-10-08,2642.655,2652.935,2604.855,2621.955,2618.4505,,55.192531882949964,48.07999999999993,32.51836281647318,WAIT,Init,Insufficient history for indicators
2024-10-09,2621.76,2624.395,2605.335,2607.825,2623.2657499999996,2537.464,51.358506642141556,19.059999999999945,31.557051186725094,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2024-10-10,2607.715,2631.515,2605.315,2630.155,2626.8337500000002,2541.1406,56.501121021732494,26.199999999999818,31.174404673387574,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-11,2629.995,2661.485,2628.235,2656.195,2630.5012500000003,2545.5154,61.599694470049464,33.25,31.322661482431318,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-14,2653.36,2666.58,2643.36,2648.62,2633.8067499999997,2550.2795,59.41789797582229,23.2199999999998,30.743899947971922,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-15,2648.695,2668.925,2638.435,2662.855,2638.4700000000003,2555.7222,62.13224142599584,30.490000000000236,30.72576423740252,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-16,2662.85,2685.28,2658.77,2673.84,2644.21175,2561.5421,64.12628170637717,26.51000000000022,30.424638220445214,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-17,2674.09,2696.75,2673.33,2693.1,2649.5282500000003,2566.8541,67.37053792930135,23.420000000000073,29.924306918984847,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-18,2692.92,2721.3,2692.39,2719.83,2654.46125,2572.6691,71.25576863310789,28.91000000000031,29.85185642477167,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-21,2720.52,2740.585,2714.335,2719.745,2659.0212500000002,2577.6079999999997,71.22672476051602,26.25,29.594580965859407,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-22,2719.755,2749.015,2718.96,2749.015,2663.6147499999997,2583.2859999999996,75.00486791941805,30.054999999999836,29.62746803972658,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-23,2748.645,2758.345,2709.015,2715.52,2666.5322499999997,2588.6363,64.55810318072156,49.32999999999993,31.034791751174676,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-24,2715.62,2743.215,2715.57,2735.985,2669.709,2594.2203,67.53349618680014,27.695000000000164,30.796235197519355,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-25,2736.035,2745.035,2717.175,2742.535,2674.23325,2598.9083,68.4465338419235,27.859999999999673,30.586504111982237,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-28,2734.665,2745.975,2724.845,2742.225,2679.60775,2603.6682,68.34856507458454,21.13000000000011,29.91103953255494,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-29,2742.135,2775.34,2741.315,2774.68,2685.17,2608.8823,72.74662444246674,34.02500000000009,30.20489385165817,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-30,2774.71,2790.01,2771.09,2787.59,2691.6089999999995,2614.3857000000003,74.27773384552476,18.920000000000073,29.398830005111165,WAIT,B0,Uptrend above MA20; wait for pullback
2024-10-31,2787.45,2790.08,2731.86,2746.205,2696.10875,2619.6138,62.211819764240026,58.2199999999998,31.45748500474607,WAIT,B0,Uptrend above MA20; wait for pullback
2024-11-01,2746.355,2762.265,2733.345,2736.515,2700.3525,2624.1253,59.76385215649144,28.920000000000073,31.27623607583564,WAIT,B0,Uptrend above MA20; wait for pullback
2024-11-04,2735.4,2748.235,2730.99,2736.685,2705.05375,2628.498,59.79374286677525,17.245000000000346,30.27400492756169,WAIT,B0,Uptrend above MA20; wait for pullback
2024-11-05,2736.725,2749.955,2724.875,2743.995,2711.15575,2632.8860999999997,61.13088517169795,25.079999999999927,29.903004575592995,WAIT,B0,Uptrend above MA20; wait for pullback
2024-11-06,2743.99,2749.605,2652.475,2659.055,2713.71725,2635.9725,43.16655767606298,97.13000000000011,34.704932820193505,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-07,2659.35,2710.12,2643.84,2706.51,2717.535,2639.6792,51.70547122670327,66.27999999999975,36.96029476160824,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2024-11-08,2706.28,2710.36,2680.46,2685.17,2718.98375,2643.3318,48.19852186003571,29.90000000000009,36.45598799292195,BUY 1 tranche ($500),B,Uptrend dip to/under MA20 (≤1×ATR)
2024-11-11,2684.775,2686.08,2610.77,2619.54,2717.52975,2645.7318,39.35732200925892,75.30999999999995,39.231274564856086,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-12,2619.545,2626.995,2590.065,2598.275,2714.30075,2647.8381,36.989732818140546,36.929999999999836,39.066897810223495,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-13,2598.425,2618.865,2572.78,2572.935,2709.2555,2649.3838,34.33883905344766,46.08499999999958,39.568190823778934,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-14,2572.96,2581.33,2537.03,2565.05,2702.853,2650.3496,33.53351625362069,44.29999999999973,39.906177193508995,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-15,2565.26,2575.67,2554.66,2562.33,2694.978,2651.6772,33.243883265461065,21.01000000000022,38.556450251115514,WAIT,B*,Dip >1×ATR below MA20 (stretched)
2024-11-18,2565.915,2614.95,2564.465,2611.87,2689.58425,2653.7902000000004,42.914735149787205,52.61999999999989,39.560989518892974,WAIT,B*,Dip >1×ATR below MA20 (stretched)
